audit,strategy,protected_attribute,metric,mean_value,n_models_significant,n_models
german_credit_lending,baseline,age,equalized_odds_diff,-0.04941520467836258,1,3
german_credit_lending,baseline,age,predictive_parity_diff,-0.08345675987185423,0,3
german_credit_lending,in_processing,age,accuracy_equality_diff,-0.0992366412213741,1,3
german_credit_lending,in_processing,age,demographic_parity_diff,0.03956927388722942,0,3
german_credit_lending,in_processing,age,disparate_impact_ratio,1.0497764822996947,0,3
german_credit_lending,in_processing,age,equal_opportunity_diff,-0.0027290448343080622,0,3
german_credit_lending,in_processing,age,equalized_odds_diff,0.18981481481481477,0,3
german_credit_lending,in_processing,age,predictive_parity_diff,-0.11818689335149546,0,3
german_credit_lending,post_processing,age,accuracy_equality_diff,-0.05575838035180888,0,3
german_credit_lending,post_processing,age,demographic_parity_diff,0.055610871409079166,0,3
german_credit_lending,post_processing,age,disparate_impact_ratio,1.0734635089094762,0,3
german_credit_lending,post_processing,age,equal_opportunity_diff,0.04054580896686155,0,3
german_credit_lending,post_processing,age,equalized_odds_diff,0.16203703703703703,0,3
german_credit_lending,post_processing,age,predictive_parity_diff,-0.10090526168429781,0,3
german_credit_lending,unawareness,age,accuracy_equality_diff,-0.05981487627687428,0,3
german_credit_lending,unawareness,age,demographic_parity_diff,-0.03849983405243943,0,3
german_credit_lending,unawareness,age,disparate_impact_ratio,0.9514671126579711,0,3
german_credit_lending,unawareness,age,equal_opportunity_diff,-0.03235867446393759,0,3
german_credit_lending,unawareness,age,equalized_odds_diff,-0.02894736842105261,0,3
german_credit_lending,unawareness,age,predictive_parity_diff,-0.07234108690498142,0,3
german_credit_lending,unawareness_proxy_removal,age,accuracy_equality_diff,-0.05524209905225504,0,3
german_credit_lending,unawareness_proxy_removal,age,demographic_parity_diff,-0.0328944942287126,0,3
german_credit_lending,unawareness_proxy_removal,age,disparate_impact_ratio,0.9589012911297706,0,3
german_credit_lending,unawareness_proxy_removal,age,equal_opportunity_diff,-0.025341130604288515,0,3
german_credit_lending,unawareness_proxy_removal,age,equalized_odds_diff,0.011793372319688097,0,3
german_credit_lending,unawareness_proxy_removal,age,predictive_parity_diff,-0.0721436752577987,0,3
healthcare_readmission,baseline,age,accuracy_equality_diff,-0.021761428265115106,3,3
healthcare_readmission,baseline,age,demographic_parity_diff,-0.0036988116080855864,3,3
healthcare_readmission,baseline,age,disparate_impact_ratio,0.1696419600337571,3,3
healthcare_readmission,baseline,age,equal_opportunity_diff,-0.019419384760720096,3,3
healthcare_readmission,baseline,age,equalized_odds_diff,-0.019419384760720096,3,3
healthcare_readmission,baseline,age,predictive_parity_diff,-0.10415119764595877,0,3
healthcare_readmission,baseline,gender,accuracy_equality_diff,-0.009085573355140228,2,3
healthcare_readmission,baseline,gender,demographic_parity_diff,0.001454770600724458,2,3
healthcare_readmission,baseline,gender,disparate_impact_ratio,1.8802568477280701,2,3
healthcare_readmission,baseline,gender,equal_opportunity_diff,0.006540224314350744,0,3
healthcare_readmission,baseline,gender,equalized_odds_diff,0.006540224314350744,0,3
healthcare_readmission,baseline,gender,predictive_parity_diff,0.03371375900787663,0,3
healthcare_readmission,baseline,gender_x_age,intersectional_demographic_parity_diff,-0.0021383597974033142,2,3
healthcare_readmission,baseline,gender_x_race,intersectional_demographic_parity_diff,0.000703873371982864,0,3
healthcare_readmission,baseline,race,accuracy_equality_diff,0.012476883768370195,3,3
healthcare_readmission,baseline,race,demographic_parity_diff,-0.0004425824480800143,0,3
healthcare_readmission,baseline,race,disparate_impact_ratio,0.7736759324104147,0,3
healthcare_readmission,baseline,race,equal_opportunity_diff,0.0005861283495861757,0,3
healthcare_readmission,baseline,race,equalized_odds_diff,0.0005861283495861757,0,3
healthcare_readmission,baseline,race,predictive_parity_diff,0.08020566649598909,0,3
healthcare_readmission,baseline,race_x_age,intersectional_demographic_parity_diff,-0.004432657140238368,3,3
healthcare_readmission,in_processing,age,accuracy_equality_diff,-0.021247409409999325,3,3
healthcare_readmission,in_processing,age,demographic_parity_diff,-0.0006899983953367665,2,3
healthcare_readmission,in_processing,age,disparate_impact_ratio,0.3498281516767831,2,3
healthcare_readmission,in_processing,age,equal_opportunity_diff,-0.0017931833385696854,0,3
healthcare_readmission,in_processing,age,equalized_odds_diff,-0.0018446055894546,0,3
healthcare_readmission,in_processing,age,predictive_parity_diff,0.05833333333333332,0,3
healthcare_readmission,in_processing,gender,accuracy_equality_diff,-0.00954494003928541,3,3
healthcare_readmission,in_processing,gender,demographic_parity_diff,0.00031258825887537663,1,3
healthcare_readmission,in_processing,gender,disparate_impact_ratio,344.875938151997,1,3
healthcare_readmission,in_processing,gender,equal_opportunity_diff,0.0002635681444072003,0,3
