audit,strategy,model,metric,value,ci_low,ci_high,n
insurance_denial,unawareness,gradient_boosting,f1,0.7445887445887446,0.679245283018868,0.8033472803347279,267
insurance_denial,unawareness_proxy_removal,logistic_regression,accuracy,0.6441947565543071,0.5842696629213483,0.704119850187266,267
insurance_denial,unawareness_proxy_removal,logistic_regression,auc,0.6874088205588598,,,267
insurance_denial,unawareness_proxy_removal,logistic_regression,f1,0.6184738955823292,0.5446212557603687,0.6891214667685254,267
insurance_denial,unawareness_proxy_removal,random_forest,accuracy,0.6816479400749064,0.6254681647940075,0.7379213483146062,267
insurance_denial,unawareness_proxy_removal,random_forest,auc,0.7300246885871393,,,267
insurance_denial,unawareness_proxy_removal,random_forest,f1,0.6443514644351463,0.5688868501529053,0.7142857142857143,267
insurance_denial,unawareness_proxy_removal,gradient_boosting,accuracy,0.7228464419475655,0.6704119850187266,0.7790262172284644,267
insurance_denial,unawareness_proxy_removal,gradient_boosting,auc,0.7543485579620695,,,267
insurance_denial,unawareness_proxy_removal,gradient_boosting,f1,0.6696428571428571,0.5961538461538461,0.7395106060045163,267
insurance_denial,in_processing,logistic_regression,accuracy,0.5617977528089888,0.50187265917603,0.6254681647940075,267
insurance_denial,in_processing,logistic_regression,auc,0.5334418134889463,,,267
insurance_denial,in_processing,logistic_regression,f1,0.5375494071146245,0.4576271186440678,0.6083992094861659,267
insurance_denial,in_processing,random_forest,accuracy,0.6704119850187266,0.6142322097378277,0.7303370786516854,267
insurance_denial,in_processing,random_forest,auc,0.6708281898776792,,,267
insurance_denial,in_processing,random_forest,f1,0.6302521008403361,0.5569620253164558,0.701212508456739,267
insurance_denial,in_processing,gradient_boosting,accuracy,0.7153558052434457,0.6629213483146067,0.7715355805243446,267
insurance_denial,in_processing,gradient_boosting,auc,0.7159129166199079,,,267
insurance_denial,in_processing,gradient_boosting,f1,0.6666666666666666,0.594871794871795,0.7376441438633672,267
insurance_denial,post_processing,logistic_regression,accuracy,0.6591760299625468,0.602996254681648,0.7153558052434457,267
insurance_denial,post_processing,logistic_regression,auc,,,,267
insurance_denial,post_processing,logistic_regression,f1,0.5955555555555556,0.5185185185185186,0.6694569534075597,267
insurance_denial,post_processing,random_forest,accuracy,0.6704119850187266,0.6178838951310862,0.7303370786516854,267
insurance_denial,post_processing,random_forest,auc,,,,267
insurance_denial,post_processing,random_forest,f1,0.6666666666666667,0.6008574860029319,0.7286942829457363,267
insurance_denial,post_processing,gradient_boosting,accuracy,0.6554307116104869,0.5955056179775281,0.7116104868913857,267
insurance_denial,post_processing,gradient_boosting,auc,,,,267
insurance_denial,post_processing,gradient_boosting,f1,0.6349206349206349,0.5630252100840336,0.7003990624712766,267
tenant_screening,baseline,logistic_regression,accuracy,0.6901490226437004,0.678149796787304,0.7027288562028257,5167
tenant_screening,baseline,logistic_regression,auc,0.7397411419011471,,,5167
tenant_screening,baseline,logistic_regression,f1,0.7460745440126882,0.734337511039208,0.7580258764385612,5167
tenant_screening,baseline,random_forest,accuracy,0.6946003483646216,0.6820205148054964,0.7071801819237469,5167
tenant_screening,baseline,random_forest,auc,0.7429553073705901,,,5167
tenant_screening,baseline,random_forest,f1,0.74752,0.7352579837844683,0.7595551375598206,5167
tenant_screening,baseline,gradient_boosting,accuracy,0.7036965357073737,0.6918860073543642,0.7160828333655893,5167
tenant_screening,baseline,gradient_boosting,auc,0.7608279549068468,,,5167
tenant_screening,baseline,gradient_boosting,f1,0.7584792554030605,0.747477338558745,0.770354948804634,5167
tenant_screening,unawareness,logistic_regression,accuracy,0.6889878072382427,0.6771821172827559,0.7015724791948906,5167
tenant_screening,unawareness,logistic_regression,auc,0.7376940200409241,,,5167
tenant_screening,unawareness,logistic_regression,f1,0.7454459052748297,0.733747322348388,0.7574602808452289,5167
tenant_screening,unawareness,random_forest,accuracy,0.6928585252564351,0.679698083994581,0.7058254306173796,5167
tenant_screening,unawareness,random_forest,auc,0.7393357074217836,,,5167
tenant_screening,unawareness,random_forest,f1,0.7473332271931221,0.7353692969367954,0.759918429765604,5167
tenant_screening,unawareness,gradient_boosting,accuracy,0.7015676407973679,0.6891765047416296,0.7139539384555835,5167
tenant_screening,unawareness,gradient_boosting,auc,0.7586154059577691,,,5167
tenant_screening,unawareness,gradient_boosting,f1,0.7572418136020151,0.745279400850774,0.769328069225,5167
tenant_screening,unawareness_proxy_removal,logistic_regression,accuracy,0.6388620089026514,0.6262821753435263,0.6514418424617766,5167
tenant_screening,unawareness_proxy_removal,logistic_regression,auc,0.6731099341268718,,,5167
tenant_screening,unawareness_proxy_removal,logistic_regression,f1,0.7118591723285979,0.6994534660605516,0.7238305482193244,5167
tenant_screening,unawareness_proxy_removal,random_forest,accuracy,0.6373137216953745,0.6237662086317012,0.6497000193535901,5167
tenant_screening,unawareness_proxy_removal,random_forest,auc,0.6692893049699022,,,5167
tenant_screening,unawareness_proxy_removal,random_forest,f1,0.6987138263665595,0.6847726830103921,0.7109363998596491,5167
tenant_screening,unawareness_proxy_removal,gradient_boosting,accuracy,0.6711825043545577,0.6578285271917941,0.6837671763112058,5167
tenant_screening,unawareness_proxy_removal,gradient_boosting,auc,0.7148860287155645,,,5167
tenant_screening,unawareness_proxy_removal,gradient_boosting,f1,0.7347384855581576,0.7217299212449708,0.746580548594665,5167
